# TBinMid=3.71519 ssec TBinWidth=7.77057 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   3.50000000E-02   4.04548128E+07   3.82457665E+07   3.82457665E+07   5.22590186E+07   4.70845497E+07   4.70845497E+07
   3.52000000E-02   3.89770860E+07   3.68359578E+07   3.68359578E+07   5.04157997E+07   4.53468922E+07   4.53468922E+07
   3.54000000E-02   3.75517776E+07   3.54768324E+07   3.54768324E+07   4.86344440E+07   4.36706255E+07   4.36706255E+07
   3.56000000E-02   3.61771011E+07   3.41666276E+07   3.41666276E+07   4.69130289E+07   4.20537209E+07   4.20537209E+07
   3.58000000E-02   3.48513271E+07   3.29036389E+07   3.29036389E+07   4.52496838E+07   4.04942097E+07   4.04942097E+07
   3.60000000E-02   3.35727819E+07   3.16862188E+07   3.16862188E+07   4.36425892E+07   3.89901812E+07   3.89901812E+07
   3.62000000E-02   3.23398461E+07   3.05127746E+07   3.05127746E+07   4.20899758E+07   3.75397820E+07   3.75397820E+07
   3.64000000E-02   3.11509528E+07   2.93817666E+07   2.93817666E+07   4.05901232E+07   3.61412140E+07   3.61412140E+07
   3.66000000E-02   3.00045858E+07   2.82917069E+07   2.82917069E+07   3.91413589E+07   3.47927336E+07   3.47927336E+07
   3.68000000E-02   2.88992787E+07   2.72411574E+07   2.72411574E+07   3.77420577E+07   3.34926499E+07   3.34926499E+07
   3.70000000E-02   2.78336128E+07   2.62287284E+07   2.62287284E+07   3.63906402E+07   3.22393241E+07   3.22393241E+07
   3.72000000E-02   2.68062160E+07   2.52530773E+07   2.52530773E+07   3.50855720E+07   3.10311674E+07   3.10311674E+07
   3.74000000E-02   2.58157615E+07   2.43129066E+07   2.43129066E+07   3.38253628E+07   2.98666404E+07   2.98666404E+07
   3.76000000E-02   2.48609661E+07   2.34069629E+07   2.34069629E+07   3.26085651E+07   2.87442514E+07   2.87442514E+07
   3.78000000E-02   2.39405891E+07   2.25340352E+07   2.25340352E+07   3.14337737E+07   2.76625554E+07   2.76625554E+07
   3.80000000E-02   2.30534309E+07   2.16929540E+07   2.16929540E+07   3.02996242E+07   2.66201528E+07   2.66201528E+07
   3.82000000E-02   2.21983319E+07   2.08825893E+07   2.08825893E+07   2.92047923E+07   2.56156882E+07   2.56156882E+07
   3.84000000E-02   2.13741709E+07   2.01018500E+07   2.01018500E+07   2.81479929E+07   2.46478492E+07   2.46478492E+07
   3.86000000E-02   2.05798643E+07   1.93496823E+07   1.93496823E+07   2.71279789E+07   2.37153653E+07   2.37153653E+07
   3.88000000E-02   1.98143649E+07   1.86250683E+07   1.86250683E+07   2.61435405E+07   2.28170066E+07   2.28170066E+07
   3.90000000E-02   1.90766605E+07   1.79270253E+07   1.79270253E+07   2.51935044E+07   2.19515830E+07   2.19515830E+07
   3.92000000E-02   1.83657728E+07   1.72546044E+07   1.72546044E+07   2.42767323E+07   2.11179425E+07   2.11179425E+07
   3.94000000E-02   1.76807568E+07   1.66068894E+07   1.66068894E+07   2.33921207E+07   2.03149710E+07   2.03149710E+07
   3.96000000E-02   1.70206993E+07   1.59829958E+07   1.59829958E+07   2.25385995E+07   1.95415903E+07   1.95415903E+07
   3.98000000E-02   1.63847178E+07   1.53820695E+07   1.53820695E+07   2.17151315E+07   1.87967578E+07   1.87967578E+07
