# TBinMid=4.00279 ssec TBinWidth=8.69483 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   3.02000000E-02   2.50182335E+08   1.89584884E+08   1.89584884E+08   2.49191347E+08   2.52157716E+08   2.52157716E+08
   3.04000000E-02   2.42724595E+08   1.83339497E+08   1.83339497E+08   2.41361840E+08   2.44568682E+08   2.44568682E+08
   3.06000000E-02   2.35471014E+08   1.77293997E+08   1.77293997E+08   2.33759284E+08   2.37189304E+08   2.37189304E+08
   3.08000000E-02   2.28416851E+08   1.71442289E+08   1.71442289E+08   2.26378042E+08   2.30014681E+08   2.30014681E+08
   3.10000000E-02   2.21557432E+08   1.65778447E+08   1.65778447E+08   2.19212571E+08   2.23039980E+08   2.23039980E+08
   3.12000000E-02   2.14888153E+08   1.60296709E+08   1.60296709E+08   2.12257416E+08   2.16260440E+08   2.16260440E+08
   3.14000000E-02   2.08404482E+08   1.54991476E+08   1.54991476E+08   2.05507218E+08   2.09671374E+08   2.09671374E+08
   3.16000000E-02   2.02101958E+08   1.49857305E+08   1.49857305E+08   1.98956713E+08   2.03268169E+08   2.03268169E+08
   3.18000000E-02   1.95976192E+08   1.44888909E+08   1.44888909E+08   1.92600731E+08   1.97046286E+08   1.97046286E+08
   3.20000000E-02   1.90022871E+08   1.40081151E+08   1.40081151E+08   1.86434198E+08   1.91001263E+08   1.91001263E+08
   3.22000000E-02   1.84237755E+08   1.35429040E+08   1.35429040E+08   1.80452136E+08   1.85128715E+08   1.85128715E+08
   3.24000000E-02   1.78616678E+08   1.30927730E+08   1.30927730E+08   1.74649664E+08   1.79424331E+08   1.79424331E+08
   3.26000000E-02   1.73155548E+08   1.26572516E+08   1.26572516E+08   1.69021998E+08   1.73883883E+08   1.73883883E+08
   3.28000000E-02   1.67850351E+08   1.22358828E+08   1.22358828E+08   1.63564449E+08   1.68503216E+08   1.68503216E+08
   3.30000000E-02   1.62697144E+08   1.18282232E+08   1.18282232E+08   1.58272425E+08   1.63278254E+08   1.63278254E+08
   3.32000000E-02   1.57692063E+08   1.14338421E+08   1.14338421E+08   1.53141431E+08   1.58205001E+08   1.58205001E+08
   3.34000000E-02   1.52831316E+08   1.10523217E+08   1.10523217E+08   1.48167065E+08   1.53279536E+08   1.53279536E+08
   3.36000000E-02   1.48111187E+08   1.06832566E+08   1.06832566E+08   1.43345022E+08   1.48498018E+08   1.48498018E+08
   3.38000000E-02   1.43528033E+08   1.03262534E+08   1.03262534E+08   1.38671091E+08   1.43856681E+08   1.43856681E+08
   3.40000000E-02   1.39078287E+08   9.98093026E+07   9.98093026E+07   1.34141154E+08   1.39351837E+08   1.39351837E+08
   3.42000000E-02   1.34758455E+08   9.64691707E+07   9.64691707E+07   1.29751186E+08   1.34979876E+08   1.34979876E+08
   3.44000000E-02   1.30565113E+08   9.32385464E+07   9.32385464E+07   1.25497254E+08   1.30737262E+08   1.30737262E+08
   3.46000000E-02   1.26494914E+08   9.01139464E+07   9.01139464E+07   1.21375514E+08   1.26620535E+08   1.26620535E+08
   3.48000000E-02   1.22544581E+08   8.70919929E+07   8.70919929E+07   1.17382214E+08   1.22626310E+08   1.22626310E+08
   3.50000000E-02   1.18710906E+08   8.41694103E+07   8.41694103E+07   1.13513691E+08   1.18751276E+08   1.18751276E+08
   3.52000000E-02   1.14990754E+08   8.13430229E+07   8.13430229E+07   1.09766367E+08   1.14992195E+08   1.14992195E+08
   3.54000000E-02   1.11381059E+08   7.86097517E+07   7.86097517E+07   1.06136753E+08   1.11345903E+08   1.11345903E+08
   3.56000000E-02   1.07878823E+08   7.59666118E+07   7.59666118E+07   1.02621444E+08   1.07809306E+08   1.07809306E+08
   3.58000000E-02   1.04481118E+08   7.34107100E+07   7.34107100E+07   9.92171178E+07   1.04379381E+08   1.04379381E+08
   3.60000000E-02   1.01185081E+08   7.09392419E+07   7.09392419E+07   9.59205371E+07   1.01053176E+08   1.01053176E+08
   3.62000000E-02   9.79879152E+07   6.85494898E+07   6.85494898E+07   9.27285443E+07   9.78278084E+07   9.78278084E+07
   3.64000000E-02   9.48868910E+07   6.62388197E+07   6.62388197E+07   8.96380621E+07   9.47004614E+07   9.47004614E+07
   3.66000000E-02   9.18793417E+07   6.40046793E+07   6.40046793E+07   8.66460918E+07   9.16683871E+07   9.16683871E+07
   3.68000000E-02   8.89626642E+07   6.18445956E+07   6.18445956E+07   8.37497119E+07   8.87289030E+07   8.87289030E+07
   3.70000000E-02   8.61343179E+07   5.97561723E+07   5.97561723E+07   8.09460765E+07   8.58793918E+07   8.58793918E+07
   3.72000000E-02   8.33918236E+07   5.77370882E+07   5.77370882E+07   7.82324145E+07   8.31173000E+07   8.31173000E+07
   3.74000000E-02   8.07327625E+07   5.57850942E+07   5.57850942E+07   7.56060272E+07   8.04401371E+07   8.04401371E+07
   3.76000000E-02   7.81547751E+07   5.38980118E+07   5.38980118E+07   7.30642881E+07   7.78454745E+07   7.78454745E+07
   3.78000000E-02   7.56555604E+07   5.20737309E+07   5.20737309E+07   7.06046404E+07   7.53309441E+07   7.53309441E+07
   3.80000000E-02   7.32328746E+07   5.03102077E+07   5.03102077E+07   6.82245961E+07   7.28942377E+07   7.28942377E+07
   3.82000000E-02   7.08845301E+07   4.86054625E+07   4.86054625E+07   6.59217348E+07   7.05331056E+07   7.05331056E+07
   3.84000000E-02   6.86083946E+07   4.69575782E+07   4.69575782E+07   6.36937018E+07   6.82453555E+07   6.82453555E+07
   3.86000000E-02   6.64023902E+07   4.53646985E+07   4.53646985E+07   6.15382068E+07   6.60288517E+07   6.60288517E+07
   3.88000000E-02   6.42644919E+07   4.38250255E+07   4.38250255E+07   5.94530230E+07   6.38815135E+07   6.38815135E+07
   3.90000000E-02   6.21927269E+07   4.23368183E+07   4.23368183E+07   5.74359850E+07   6.18013146E+07   6.18013146E+07
   3.92000000E-02   6.01851735E+07   4.08983916E+07   4.08983916E+07   5.54849878E+07   5.97862817E+07   5.97862817E+07
   3.94000000E-02   5.82399600E+07   3.95081134E+07   3.95081134E+07   5.35979857E+07   5.78344937E+07   5.78344937E+07
   3.96000000E-02   5.63552639E+07   3.81644038E+07   3.81644038E+07   5.17729904E+07   5.59440803E+07   5.59440803E+07
   3.98000000E-02   5.45293106E+07   3.68657332E+07   3.68657332E+07   5.00080698E+07   5.41132211E+07   5.41132211E+07
   4.00000000E-02   5.27603724E+07   3.56106210E+07   3.56106210E+07   4.83013473E+07   5.23401445E+07   5.23401445E+07
   4.02000000E-02   5.10467678E+07   3.43976338E+07   3.43976338E+07   4.66509994E+07   5.06231266E+07   5.06231266E+07
   4.04000000E-02   4.93868602E+07   3.32253843E+07   3.32253843E+07   4.50552554E+07   4.89604905E+07   4.89604905E+07
   4.06000000E-02   4.77790571E+07   3.20925296E+07   3.20925296E+07   4.35123956E+07   4.73506045E+07   4.73506045E+07
   4.08000000E-02   4.62218089E+07   3.09977698E+07   3.09977698E+07   4.20207504E+07   4.57918820E+07   4.57918820E+07
   4.10000000E-02   4.47136082E+07   2.99398471E+07   2.99398471E+07   4.05786984E+07   4.42827798E+07   4.42827798E+07
   4.12000000E-02   4.32529887E+07   2.89175440E+07   2.89175440E+07   3.91846662E+07   4.28217973E+07   4.28217973E+07
   4.14000000E-02   4.18385244E+07   2.79296823E+07   2.79296823E+07   3.78371262E+07   4.14074756E+07   4.14074756E+07
   4.16000000E-02   4.04688283E+07   2.69751218E+07   2.69751218E+07   3.65345962E+07   4.00383967E+07   4.00383967E+07
   4.18000000E-02   3.91425520E+07   2.60527593E+07   2.60527593E+07   3.52756376E+07   3.87131819E+07   3.87131819E+07
   4.20000000E-02   3.78583845E+07   2.51615271E+07   2.51615271E+07   3.40588550E+07   3.74304916E+07   3.74304916E+07
   4.22000000E-02   3.66150513E+07   2.43003922E+07   2.43003922E+07   3.28828942E+07   3.61890238E+07   3.61890238E+07
